No.,Title,Original release date,English release date
,,,
"""Why He Gets Back Up"" (彼は何故立ち続けたか, Kare wa Naze Tachi Tsuzuketa ka)""His Start"" (始まりの, Hajimarino)""Dabi, Hawks, Endeavor"" (荼毘・ホークス・エンデヴァー, Dabi Hōkusu Endevā)""The Todoroki Family"" (轟家, Todoroki-ke)""Vestiges"" (面影, Omokage)""Cold Skies Over U.A. High!"" (寒空! 雄英高校!, Samuzora! Yūei Kōkō!)""Clash! Class A vs. Class B!"" (激突!A組VSB組, Gekitotsu! Ē-gumi bāsasu Bī-gumi)""Make It Happen, Shinso!!"" (それ行け心操くん！, Soreike Shinsō-kun!)""Quaotic Quirkstravaganza"" (""個性""ドンパチ大応酬, ""Kosei"" Donpachi Dai-ōshū)""Know Where You Stand When It Counts!!"" (必要!! 時には足止め現状把握!, Hitsuyō!! Toki ni wa Ashitome Genjō Haaku!)""Operation New Improv Moves!"" (新技即興オペレーション!, Shin-waza Sokkyō Operēshon!)""Clever Commander!"" (智将!!, Chishō!!)",,,
"Endeavor struggles against Hood as the monster scars the left side of his face, while Hawks uses his ""Fierce Wings"" Quirk to protect bystanders. Endeavor continues fighting despite his injuries and destroys the High-End Nomu with Hawks' help, the two being ambushed by Dabi before the number-five hero Miruko drives him off. Hawks later meets Dabi at a warehouse to discuss the attack while being told that he is not ready to meet Shigaraki, as Hawks is revealed to be acting on orders from the Hero Public Safety Commission and his own aspirations to infiltrate the League of Villains. Endeavor is eventually released from the hospital, resolving to atone for the wrongs he did to his family as Todoroki is willing to give him the chance to act on it. Meanwhile, Izuku begins having dreams of when One For All was created and meets the original holder - All for One's younger brother. Soon after, Classes 1-A and 1-B meet at Field Gamma for their first Joint Training Battle, with Hero Course prospect Hitoshi Shinso joining them. The students are divided into four-man teams, with Shinso a fifth member in Tsuyu's team as they win their match. Yaoyorozu's team then faces Itsuka Kendo's team, with Kendo considering Yaoyorozu a rival she intends to surpass.","Endeavor struggles against Hood as the monster scars the left side of his face, while Hawks uses his ""Fierce Wings"" Quirk to protect bystanders. Endeavor continues fighting despite his injuries and destroys the High-End Nomu with Hawks' help, the two being ambushed by Dabi before the number-five hero Miruko drives him off. Hawks later meets Dabi at a warehouse to discuss the attack while being told that he is not ready to meet Shigaraki, as Hawks is revealed to be acting on orders from the Hero Public Safety Commission and his own aspirations to infiltrate the League of Villains. Endeavor is eventually released from the hospital, resolving to atone for the wrongs he did to his family as Todoroki is willing to give him the chance to act on it. Meanwhile, Izuku begins having dreams of when One For All was created and meets the original holder - All for One's younger brother. Soon after, Classes 1-A and 1-B meet at Field Gamma for their first Joint Training Battle, with Hero Course prospect Hitoshi Shinso joining them. The students are divided into four-man teams, with Shinso a fifth member in Tsuyu's team as they win their match. Yaoyorozu's team then faces Itsuka Kendo's team, with Kendo considering Yaoyorozu a rival she intends to surpass.","Endeavor struggles against Hood as the monster scars the left side of his face, while Hawks uses his ""Fierce Wings"" Quirk to protect bystanders. Endeavor continues fighting despite his injuries and destroys the High-End Nomu with Hawks' help, the two being ambushed by Dabi before the number-five hero Miruko drives him off. Hawks later meets Dabi at a warehouse to discuss the attack while being told that he is not ready to meet Shigaraki, as Hawks is revealed to be acting on orders from the Hero Public Safety Commission and his own aspirations to infiltrate the League of Villains. Endeavor is eventually released from the hospital, resolving to atone for the wrongs he did to his family as Todoroki is willing to give him the chance to act on it. Meanwhile, Izuku begins having dreams of when One For All was created and meets the original holder - All for One's younger brother. Soon after, Classes 1-A and 1-B meet at Field Gamma for their first Joint Training Battle, with Hero Course prospect Hitoshi Shinso joining them. The students are divided into four-man teams, with Shinso a fifth member in Tsuyu's team as they win their match. Yaoyorozu's team then faces Itsuka Kendo's team, with Kendo considering Yaoyorozu a rival she intends to surpass.","Endeavor struggles against Hood as the monster scars the left side of his face, while Hawks uses his ""Fierce Wings"" Quirk to protect bystanders. Endeavor continues fighting despite his injuries and destroys the High-End Nomu with Hawks' help, the two being ambushed by Dabi before the number-five hero Miruko drives him off. Hawks later meets Dabi at a warehouse to discuss the attack while being told that he is not ready to meet Shigaraki, as Hawks is revealed to be acting on orders from the Hero Public Safety Commission and his own aspirations to infiltrate the League of Villains. Endeavor is eventually released from the hospital, resolving to atone for the wrongs he did to his family as Todoroki is willing to give him the chance to act on it. Meanwhile, Izuku begins having dreams of when One For All was created and meets the original holder - All for One's younger brother. Soon after, Classes 1-A and 1-B meet at Field Gamma for their first Joint Training Battle, with Hero Course prospect Hitoshi Shinso joining them. The students are divided into four-man teams, with Shinso a fifth member in Tsuyu's team as they win their match. Yaoyorozu's team then faces Itsuka Kendo's team, with Kendo considering Yaoyorozu a rival she intends to surpass."
22,That Which is InheritedUketsugu Mono (受け継ぐモノ),"February 4, 2019[59] 978-4-08-881723-1","December 3, 2019[60]978-1-9747-0965-6"
"""Foresight"" (先を見据えて, Saki o Misuete)""Match 3"" (第3セット, Daisan Setto)""Flexible! Juzo Honenuki!"" (柔軟！骨抜柔造！, Jūnan! Honenuki Jūzō!)""Tuning Up"" (チューニング, Chūningu)""Detour"" (遠回り, Tōmawari)""Match 3 Conclusion"" (第３セット決着, Daisan Setto Ketchaku)""Early Bird!"" (先手必勝!, Sente Hisshō!)""Match 4 Conclusion"" (第４セット決着, Daiyon Setto Ketchaku)""Match 5 Start"" (第５セットスタート, Daigo Setto Sutāto)""The One For All Dream"" (ワン・フォー・オールの夢, Wan Fō Ōru no Yume)""That Which is Inherited"" (受け継ぐモノ, Uketsugu Mono)""That Which is Inherited, Part 2"" (続・受け継ぐモノ, Zoku Uketsugu Mono)","""Foresight"" (先を見据えて, Saki o Misuete)""Match 3"" (第3セット, Daisan Setto)""Flexible! Juzo Honenuki!"" (柔軟！骨抜柔造！, Jūnan! Honenuki Jūzō!)""Tuning Up"" (チューニング, Chūningu)""Detour"" (遠回り, Tōmawari)""Match 3 Conclusion"" (第３セット決着, Daisan Setto Ketchaku)""Early Bird!"" (先手必勝!, Sente Hisshō!)""Match 4 Conclusion"" (第４セット決着, Daiyon Setto Ketchaku)""Match 5 Start"" (第５セットスタート, Daigo Setto Sutāto)""The One For All Dream"" (ワン・フォー・オールの夢, Wan Fō Ōru no Yume)""That Which is Inherited"" (受け継ぐモノ, Uketsugu Mono)""That Which is Inherited, Part 2"" (続・受け継ぐモノ, Zoku Uketsugu Mono)","""Foresight"" (先を見据えて, Saki o Misuete)""Match 3"" (第3セット, Daisan Setto)""Flexible! Juzo Honenuki!"" (柔軟！骨抜柔造！, Jūnan! Honenuki Jūzō!)""Tuning Up"" (チューニング, Chūningu)""Detour"" (遠回り, Tōmawari)""Match 3 Conclusion"" (第３セット決着, Daisan Setto Ketchaku)""Early Bird!"" (先手必勝!, Sente Hisshō!)""Match 4 Conclusion"" (第４セット決着, Daiyon Setto Ketchaku)""Match 5 Start"" (第５セットスタート, Daigo Setto Sutāto)""The One For All Dream"" (ワン・フォー・オールの夢, Wan Fō Ōru no Yume)""That Which is Inherited"" (受け継ぐモノ, Uketsugu Mono)""That Which is Inherited, Part 2"" (続・受け継ぐモノ, Zoku Uketsugu Mono)","""Foresight"" (先を見据えて, Saki o Misuete)""Match 3"" (第3セット, Daisan Setto)""Flexible! Juzo Honenuki!"" (柔軟！骨抜柔造！, Jūnan! Honenuki Jūzō!)""Tuning Up"" (チューニング, Chūningu)""Detour"" (遠回り, Tōmawari)""Match 3 Conclusion"" (第３セット決着, Daisan Setto Ketchaku)""Early Bird!"" (先手必勝!, Sente Hisshō!)""Match 4 Conclusion"" (第４セット決着, Daiyon Setto Ketchaku)""Match 5 Start"" (第５セットスタート, Daigo Setto Sutāto)""The One For All Dream"" (ワン・フォー・オールの夢, Wan Fō Ōru no Yume)""That Which is Inherited"" (受け継ぐモノ, Uketsugu Mono)""That Which is Inherited, Part 2"" (続・受け継ぐモノ, Zoku Uketsugu Mono)"
,,,
"""Foresight"" (先を見据えて, Saki o Misuete)""Match 3"" (第3セット, Daisan Setto)""Flexible! Juzo Honenuki!"" (柔軟！骨抜柔造！, Jūnan! Honenuki Jūzō!)""Tuning Up"" (チューニング, Chūningu)""Detour"" (遠回り, Tōmawari)""Match 3 Conclusion"" (第３セット決着, Daisan Setto Ketchaku)""Early Bird!"" (先手必勝!, Sente Hisshō!)""Match 4 Conclusion"" (第４セット決着, Daiyon Setto Ketchaku)""Match 5 Start"" (第５セットスタート, Daigo Setto Sutāto)""The One For All Dream"" (ワン・フォー・オールの夢, Wan Fō Ōru no Yume)""That Which is Inherited"" (受け継ぐモノ, Uketsugu Mono)""That Which is Inherited, Part 2"" (続・受け継ぐモノ, Zoku Uketsugu Mono)",,,
"Yaoyorozu's team is ultimately defeated by Kendo's team, with Kendo feeling that she has yet to surpass Yaoyorozu as the combat zone is changed to another area due to the damage her team did. Despite Todoroki and Iida using the technique they learned while facing Juzo Honenuki's team, their match ends in a draw. Bakugo's team flawlessly win their match as their opponents fail to account for Bakugo becoming a team player in his own way, with a livid Monoma determined to settle his one-sided rivalry with 1-A as his team and Shinso face Izuku's team. During the match, Monoma's plan to provoke Izuku into falling under Shinso's Quirk backfires when black tendrils erupt from Izuku's body and attack the area indiscriminately. Uraraka restrains Izuku long enough for Shinso to use his Quirk and subdue him.","Yaoyorozu's team is ultimately defeated by Kendo's team, with Kendo feeling that she has yet to surpass Yaoyorozu as the combat zone is changed to another area due to the damage her team did. Despite Todoroki and Iida using the technique they learned while facing Juzo Honenuki's team, their match ends in a draw. Bakugo's team flawlessly win their match as their opponents fail to account for Bakugo becoming a team player in his own way, with a livid Monoma determined to settle his one-sided rivalry with 1-A as his team and Shinso face Izuku's team. During the match, Monoma's plan to provoke Izuku into falling under Shinso's Quirk backfires when black tendrils erupt from Izuku's body and attack the area indiscriminately. Uraraka restrains Izuku long enough for Shinso to use his Quirk and subdue him.","Yaoyorozu's team is ultimately defeated by Kendo's team, with Kendo feeling that she has yet to surpass Yaoyorozu as the combat zone is changed to another area due to the damage her team did. Despite Todoroki and Iida using the technique they learned while facing Juzo Honenuki's team, their match ends in a draw. Bakugo's team flawlessly win their match as their opponents fail to account for Bakugo becoming a team player in his own way, with a livid Monoma determined to settle his one-sided rivalry with 1-A as his team and Shinso face Izuku's team. During the match, Monoma's plan to provoke Izuku into falling under Shinso's Quirk backfires when black tendrils erupt from Izuku's body and attack the area indiscriminately. Uraraka restrains Izuku long enough for Shinso to use his Quirk and subdue him.","Yaoyorozu's team is ultimately defeated by Kendo's team, with Kendo feeling that she has yet to surpass Yaoyorozu as the combat zone is changed to another area due to the damage her team did. Despite Todoroki and Iida using the technique they learned while facing Juzo Honenuki's team, their match ends in a draw. Bakugo's team flawlessly win their match as their opponents fail to account for Bakugo becoming a team player in his own way, with a livid Monoma determined to settle his one-sided rivalry with 1-A as his team and Shinso face Izuku's team. During the match, Monoma's plan to provoke Izuku into falling under Shinso's Quirk backfires when black tendrils erupt from Izuku's body and attack the area indiscriminately. Uraraka restrains Izuku long enough for Shinso to use his Quirk and subdue him."
23,Our BrawlBokura no Dairansen (ぼくらの大乱戦),"May 2, 2019[61] 978-4-08-881797-2","February 4, 2020[62]978-1-9747-0966-3"
"""Realm of Souls"" (魂の所在, Tamashii no Shozai)""Our Brawl"" (ぼくらの大乱戦, Bokura no Dairansen)""Final Face-Off! Midoriya Vs. Shinso!"" (最終局面！緑谷VS心操!!, Saishū Kyokumen! Midoriya bāsasu Shinsō!!)""Class A vs. Class B: Conclusion!"" (決着! A組VSB組, Ketchaku! Ē-gumi bāsasu Bī-gumi)""The New Power and All For One"" (新しい力とオール・フォー・ワン, Atarashī Chikara to Ōru Fō Wan)""The Meta Liberation Army"" (異能解放軍, Inō Kaihō-gun)""Go, Slidin' Go!"" (ゴー！スライディン・ゴー！, Gō! Suraidin Gō!)""My Villain Academia"" (僕のヴィランアカデミア, Boku no Viran Akademia)""Memento from All For One"" (オール・フォー・ワンの置き土産, Ōru Fō Wan no Okimiyage)""Tomura Shigaraki: Distortion"" (死柄木弔：Distortion, Shigaraki Tomura: Disutōshon)""Cockroaches"" (ゴキブリ, Gokiburi)""Revival Party"" (再臨祭, Sairin-sai)","""Realm of Souls"" (魂の所在, Tamashii no Shozai)""Our Brawl"" (ぼくらの大乱戦, Bokura no Dairansen)""Final Face-Off! Midoriya Vs. Shinso!"" (最終局面！緑谷VS心操!!, Saishū Kyokumen! Midoriya bāsasu Shinsō!!)""Class A vs. Class B: Conclusion!"" (決着! A組VSB組, Ketchaku! Ē-gumi bāsasu Bī-gumi)""The New Power and All For One"" (新しい力とオール・フォー・ワン, Atarashī Chikara to Ōru Fō Wan)""The Meta Liberation Army"" (異能解放軍, Inō Kaihō-gun)""Go, Slidin' Go!"" (ゴー！スライディン・ゴー！, Gō! Suraidin Gō!)""My Villain Academia"" (僕のヴィランアカデミア, Boku no Viran Akademia)""Memento from All For One"" (オール・フォー・ワンの置き土産, Ōru Fō Wan no Okimiyage)""Tomura Shigaraki: Distortion"" (死柄木弔：Distortion, Shigaraki Tomura: Disutōshon)""Cockroaches"" (ゴキブリ, Gokiburi)""Revival Party"" (再臨祭, Sairin-sai)","""Realm of Souls"" (魂の所在, Tamashii no Shozai)""Our Brawl"" (ぼくらの大乱戦, Bokura no Dairansen)""Final Face-Off! Midoriya Vs. Shinso!"" (最終局面！緑谷VS心操!!, Saishū Kyokumen! Midoriya bāsasu Shinsō!!)""Class A vs. Class B: Conclusion!"" (決着! A組VSB組, Ketchaku! Ē-gumi bāsasu Bī-gumi)""The New Power and All For One"" (新しい力とオール・フォー・ワン, Atarashī Chikara to Ōru Fō Wan)""The Meta Liberation Army"" (異能解放軍, Inō Kaihō-gun)""Go, Slidin' Go!"" (ゴー！スライディン・ゴー！, Gō! Suraidin Gō!)""My Villain Academia"" (僕のヴィランアカデミア, Boku no Viran Akademia)""Memento from All For One"" (オール・フォー・ワンの置き土産, Ōru Fō Wan no Okimiyage)""Tomura Shigaraki: Distortion"" (死柄木弔：Distortion, Shigaraki Tomura: Disutōshon)""Cockroaches"" (ゴキブリ, Gokiburi)""Revival Party"" (再臨祭, Sairin-sai)","""Realm of Souls"" (魂の所在, Tamashii no Shozai)""Our Brawl"" (ぼくらの大乱戦, Bokura no Dairansen)""Final Face-Off! Midoriya Vs. Shinso!"" (最終局面！緑谷VS心操!!, Saishū Kyokumen! Midoriya bāsasu Shinsō!!)""Class A vs. Class B: Conclusion!"" (決着! A組VSB組, Ketchaku! Ē-gumi bāsasu Bī-gumi)""The New Power and All For One"" (新しい力とオール・フォー・ワン, Atarashī Chikara to Ōru Fō Wan)""The Meta Liberation Army"" (異能解放軍, Inō Kaihō-gun)""Go, Slidin' Go!"" (ゴー！スライディン・ゴー！, Gō! Suraidin Gō!)""My Villain Academia"" (僕のヴィランアカデミア, Boku no Viran Akademia)""Memento from All For One"" (オール・フォー・ワンの置き土産, Ōru Fō Wan no Okimiyage)""Tomura Shigaraki: Distortion"" (死柄木弔：Distortion, Shigaraki Tomura: Disutōshon)""Cockroaches"" (ゴキブリ, Gokiburi)""Revival Party"" (再臨祭, Sairin-sai)"
,,,
"""Realm of Souls"" (魂の所在, Tamashii no Shozai)""Our Brawl"" (ぼくらの大乱戦, Bokura no Dairansen)""Final Face-Off! Midoriya Vs. Shinso!"" (最終局面！緑谷VS心操!!, Saishū Kyokumen! Midoriya bāsasu Shinsō!!)""Class A vs. Class B: Conclusion!"" (決着! A組VSB組, Ketchaku! Ē-gumi bāsasu Bī-gumi)""The New Power and All For One"" (新しい力とオール・フォー・ワン, Atarashī Chikara to Ōru Fō Wan)""The Meta Liberation Army"" (異能解放軍, Inō Kaihō-gun)""Go, Slidin' Go!"" (ゴー！スライディン・ゴー！, Gō! Suraidin Gō!)""My Villain Academia"" (僕のヴィランアカデミア, Boku no Viran Akademia)""Memento from All For One"" (オール・フォー・ワンの置き土産, Ōru Fō Wan no Okimiyage)""Tomura Shigaraki: Distortion"" (死柄木弔：Distortion, Shigaraki Tomura: Disutōshon)""Cockroaches"" (ゴキブリ, Gokiburi)""Revival Party"" (再臨祭, Sairin-sai)",,,
"Izuku ends up in the vestige world after being subdued by Shinso's Quirk and meets his predecessor Daigoro Banjo, who reveals that Izuku used his Quirk ""Blackwhip"" when it responded to his intent to capture Monoma. Banjo explains that the core of One For All has grown so large that its previous owners' Quirks are manifesting within Deku and that he must learn to control his emotions before using them. Regaining consciousness, Izuku and Uraraka regroup with Mina Ashido and Minoru Mineta as the match turns into a no-holds-barred fist fight. Despite Monoma's gambit after being captured, Izuku manages to defeat Shinso while his classmates capture the others. The Joint Training ends with Class 1-A's victory and Shinso earning a passing grade that will allow him to possibly transfer onto the Hero Course. As Aizawa later takes Monoma to visit Eri, with Izuku encouraging her to master her Quirk, Bakugo and Todoroki finally earn their Hero Licenses. Meanwhile, the League of Villains are approached by All For One's right-hand-man, Dr. Kyudai Garaki, who offers his services to them if Tomura can defeat Gigantomachia. However, the League's progress is interrupted when they learn their information broker Giran has been abducted by a terrorist organization known as the Meta Liberation Army, whose leader Re-Destro invites them to Deika City for an ultimatum.","Izuku ends up in the vestige world after being subdued by Shinso's Quirk and meets his predecessor Daigoro Banjo, who reveals that Izuku used his Quirk ""Blackwhip"" when it responded to his intent to capture Monoma. Banjo explains that the core of One For All has grown so large that its previous owners' Quirks are manifesting within Deku and that he must learn to control his emotions before using them. Regaining consciousness, Izuku and Uraraka regroup with Mina Ashido and Minoru Mineta as the match turns into a no-holds-barred fist fight. Despite Monoma's gambit after being captured, Izuku manages to defeat Shinso while his classmates capture the others. The Joint Training ends with Class 1-A's victory and Shinso earning a passing grade that will allow him to possibly transfer onto the Hero Course. As Aizawa later takes Monoma to visit Eri, with Izuku encouraging her to master her Quirk, Bakugo and Todoroki finally earn their Hero Licenses. Meanwhile, the League of Villains are approached by All For One's right-hand-man, Dr. Kyudai Garaki, who offers his services to them if Tomura can defeat Gigantomachia. However, the League's progress is interrupted when they learn their information broker Giran has been abducted by a terrorist organization known as the Meta Liberation Army, whose leader Re-Destro invites them to Deika City for an ultimatum.","Izuku ends up in the vestige world after being subdued by Shinso's Quirk and meets his predecessor Daigoro Banjo, who reveals that Izuku used his Quirk ""Blackwhip"" when it responded to his intent to capture Monoma. Banjo explains that the core of One For All has grown so large that its previous owners' Quirks are manifesting within Deku and that he must learn to control his emotions before using them. Regaining consciousness, Izuku and Uraraka regroup with Mina Ashido and Minoru Mineta as the match turns into a no-holds-barred fist fight. Despite Monoma's gambit after being captured, Izuku manages to defeat Shinso while his classmates capture the others. The Joint Training ends with Class 1-A's victory and Shinso earning a passing grade that will allow him to possibly transfer onto the Hero Course. As Aizawa later takes Monoma to visit Eri, with Izuku encouraging her to master her Quirk, Bakugo and Todoroki finally earn their Hero Licenses. Meanwhile, the League of Villains are approached by All For One's right-hand-man, Dr. Kyudai Garaki, who offers his services to them if Tomura can defeat Gigantomachia. However, the League's progress is interrupted when they learn their information broker Giran has been abducted by a terrorist organization known as the Meta Liberation Army, whose leader Re-Destro invites them to Deika City for an ultimatum.","Izuku ends up in the vestige world after being subdued by Shinso's Quirk and meets his predecessor Daigoro Banjo, who reveals that Izuku used his Quirk ""Blackwhip"" when it responded to his intent to capture Monoma. Banjo explains that the core of One For All has grown so large that its previous owners' Quirks are manifesting within Deku and that he must learn to control his emotions before using them. Regaining consciousness, Izuku and Uraraka regroup with Mina Ashido and Minoru Mineta as the match turns into a no-holds-barred fist fight. Despite Monoma's gambit after being captured, Izuku manages to defeat Shinso while his classmates capture the others. The Joint Training ends with Class 1-A's victory and Shinso earning a passing grade that will allow him to possibly transfer onto the Hero Course. As Aizawa later takes Monoma to visit Eri, with Izuku encouraging her to master her Quirk, Bakugo and Todoroki finally earn their Hero Licenses. Meanwhile, the League of Villains are approached by All For One's right-hand-man, Dr. Kyudai Garaki, who offers his services to them if Tomura can defeat Gigantomachia. However, the League's progress is interrupted when they learn their information broker Giran has been abducted by a terrorist organization known as the Meta Liberation Army, whose leader Re-Destro invites them to Deika City for an ultimatum."
24,All It Takes Is One Bad Day,"August 2, 2019[63] 978-4-08-881880-1","June 2, 2020[64]978-1-9747-1120-8"
"""Interview with a Vampire"" (インタビュー・ウィズ・ヴァンパイア, Intabyū Wizu Vanpaia)""Bloody Love"" (愛の血, Koi no Chi)""Sleepy"" (眠い, Nemui)""Wounded Soul"" (心の外傷, Kokoro no Gaishō)""All It Takes Is One Bad Day""""Sad Man's Parade"" (サッドマンズパレード, Saddo Manzu Parēdo)""Path"" (道, Michi)""Meta Abilities and Quirks"" (異能と“個性”, Inō to “Kosei”)""Bright Future"" (アカルイミライ, Akarui Mirai)""Destruction Sense"" (壊覚, Kaikaku)""Tenko Shimura: Origin"" (志村転弧：オリジン, Shimura Tenko: Orijin)","""Interview with a Vampire"" (インタビュー・ウィズ・ヴァンパイア, Intabyū Wizu Vanpaia)""Bloody Love"" (愛の血, Koi no Chi)""Sleepy"" (眠い, Nemui)""Wounded Soul"" (心の外傷, Kokoro no Gaishō)""All It Takes Is One Bad Day""""Sad Man's Parade"" (サッドマンズパレード, Saddo Manzu Parēdo)""Path"" (道, Michi)""Meta Abilities and Quirks"" (異能と“個性”, Inō to “Kosei”)""Bright Future"" (アカルイミライ, Akarui Mirai)""Destruction Sense"" (壊覚, Kaikaku)""Tenko Shimura: Origin"" (志村転弧：オリジン, Shimura Tenko: Orijin)","""Interview with a Vampire"" (インタビュー・ウィズ・ヴァンパイア, Intabyū Wizu Vanpaia)""Bloody Love"" (愛の血, Koi no Chi)""Sleepy"" (眠い, Nemui)""Wounded Soul"" (心の外傷, Kokoro no Gaishō)""All It Takes Is One Bad Day""""Sad Man's Parade"" (サッドマンズパレード, Saddo Manzu Parēdo)""Path"" (道, Michi)""Meta Abilities and Quirks"" (異能と“個性”, Inō to “Kosei”)""Bright Future"" (アカルイミライ, Akarui Mirai)""Destruction Sense"" (壊覚, Kaikaku)""Tenko Shimura: Origin"" (志村転弧：オリジン, Shimura Tenko: Orijin)","""Interview with a Vampire"" (インタビュー・ウィズ・ヴァンパイア, Intabyū Wizu Vanpaia)""Bloody Love"" (愛の血, Koi no Chi)""Sleepy"" (眠い, Nemui)""Wounded Soul"" (心の外傷, Kokoro no Gaishō)""All It Takes Is One Bad Day""""Sad Man's Parade"" (サッドマンズパレード, Saddo Manzu Parēdo)""Path"" (道, Michi)""Meta Abilities and Quirks"" (異能と“個性”, Inō to “Kosei”)""Bright Future"" (アカルイミライ, Akarui Mirai)""Destruction Sense"" (壊覚, Kaikaku)""Tenko Shimura: Origin"" (志村転弧：オリジン, Shimura Tenko: Orijin)"
,,,
"""Interview with a Vampire"" (インタビュー・ウィズ・ヴァンパイア, Intabyū Wizu Vanpaia)""Bloody Love"" (愛の血, Koi no Chi)""Sleepy"" (眠い, Nemui)""Wounded Soul"" (心の外傷, Kokoro no Gaishō)""All It Takes Is One Bad Day""""Sad Man's Parade"" (サッドマンズパレード, Saddo Manzu Parēdo)""Path"" (道, Michi)""Meta Abilities and Quirks"" (異能と“個性”, Inō to “Kosei”)""Bright Future"" (アカルイミライ, Akarui Mirai)""Destruction Sense"" (壊覚, Kaikaku)""Tenko Shimura: Origin"" (志村転弧：オリジン, Shimura Tenko: Orijin)",,,
"The Meta Liberation Army, led by their founder's descendent Re-Destro, is determined to crush the League of Villains. As the ragtag group fights over 100,000 members of the MLA for their future, the tragic events that turned them each to villainy are revealed. Toga manages to kill the mad bomber Ms. Curious when her Quirk evolves and allows her to use the Quirks of anyone she transforms into, while Twice overcomes his traumatic existential crisis to use his duplication Quirk on himself. As Gigantomachia arrives, Shigaraki reveals that he can use his power without directly touching his victim as he destroys Re-Destro's base, forcing him out onto the field. During the fight, Shigaraki begins to remember his past.","The Meta Liberation Army, led by their founder's descendent Re-Destro, is determined to crush the League of Villains. As the ragtag group fights over 100,000 members of the MLA for their future, the tragic events that turned them each to villainy are revealed. Toga manages to kill the mad bomber Ms. Curious when her Quirk evolves and allows her to use the Quirks of anyone she transforms into, while Twice overcomes his traumatic existential crisis to use his duplication Quirk on himself. As Gigantomachia arrives, Shigaraki reveals that he can use his power without directly touching his victim as he destroys Re-Destro's base, forcing him out onto the field. During the fight, Shigaraki begins to remember his past.","The Meta Liberation Army, led by their founder's descendent Re-Destro, is determined to crush the League of Villains. As the ragtag group fights over 100,000 members of the MLA for their future, the tragic events that turned them each to villainy are revealed. Toga manages to kill the mad bomber Ms. Curious when her Quirk evolves and allows her to use the Quirks of anyone she transforms into, while Twice overcomes his traumatic existential crisis to use his duplication Quirk on himself. As Gigantomachia arrives, Shigaraki reveals that he can use his power without directly touching his victim as he destroys Re-Destro's base, forcing him out onto the field. During the fight, Shigaraki begins to remember his past.","The Meta Liberation Army, led by their founder's descendent Re-Destro, is determined to crush the League of Villains. As the ragtag group fights over 100,000 members of the MLA for their future, the tragic events that turned them each to villainy are revealed. Toga manages to kill the mad bomber Ms. Curious when her Quirk evolves and allows her to use the Quirks of anyone she transforms into, while Twice overcomes his traumatic existential crisis to use his duplication Quirk on himself. As Gigantomachia arrives, Shigaraki reveals that he can use his power without directly touching his victim as he destroys Re-Destro's base, forcing him out onto the field. During the fight, Shigaraki begins to remember his past."
25,Tomura Shigaraki: OriginShigaraki Tomura: Orijin (死柄木弔：オリジン),"December 4, 2019[65] 978-4-08-882074-3","October 6, 2020[66]978-1-9747-1762-0"
